from;to;status;distance;time
Catanzaro;Aosta;OK;1342918;47635
Catanzaro;Perugia;OK;755770;28716
Catanzaro;Arezzo;OK;801737;29202
Catanzaro;Grosseto;OK;786572;30254
Catanzaro;Massa;OK;977575;34695
Catanzaro;Pistoia;OK;896414;31941
Catanzaro;Prato;OK;879816;31558
Catanzaro;Siena;OK;831336;30364
Catanzaro;Brescia;OK;1141395;39934
Catanzaro;Como;OK;1210478;42015
Catanzaro;Cremona;OK;1126523;39466
Catanzaro;Lecco;OK;1210059;42242
Catanzaro;Lodi;OK;1133936;39452
Catanzaro;Mantova;OK;1056615;37250
Catanzaro;Pavia;OK;1147169;40598
Catanzaro;Sondrio;OK;1289617;45916
Catanzaro;Varese;OK;1218525;42320
Catanzaro;Monza;OK;1170483;40645
Catanzaro;Alessandria;OK;1194664;41998
Catanzaro;Asti;OK;1230332;43226
Catanzaro;Biella;OK;1260428;44515
Catanzaro;Cuneo;OK;1232085;44900
Catanzaro;Novara;OK;1211849;42756
Catanzaro;Verbania;OK;1262873;44340
Catanzaro;Vercelli;OK;1242905;43759
Catanzaro;Bolzano - Bozen;OK;1226973;42750
Catanzaro;Belluno;OK;1204942;41592
Catanzaro;Rovigo;OK;1039586;36595
Catanzaro;Treviso;OK;1128818;39437
Catanzaro;Verona;OK;1088944;38270
Catanzaro;Vicenza;OK;1109926;38929
Catanzaro;Gorizia;OK;1239379;43439
Catanzaro;Pordenone;OK;1186401;40840
Catanzaro;Udine;OK;1228620;42731
Catanzaro;Imperia;OK;1208591;43883
Catanzaro;La Spezia;OK;1005604;35767
Catanzaro;Savona;OK;1133212;40903
Catanzaro;Agrigento;OK;412767;23291
Catanzaro;Caltanissetta;OK;362297;20153
Catanzaro;Catania;OK;253015;15802
Catanzaro;Enna;OK;336934;19298
Catanzaro;Messina;OK;157425;11662
Catanzaro;Ragusa;OK;358875;21139
Catanzaro;Trapani;OK;484801;24953
Catanzaro;Reggio di Calabria;OK;159617;7039
Catanzaro;Cosenza;OK;96183;4298
Catanzaro;Crotone;OK;71233;4174
Catanzaro;Vibo Valentia;OK;69008;3704
Catanzaro;Matera;OK;290740;13879
Catanzaro;Isernia;OK;493527;20224
Catanzaro;Terni;OK;686828;26085
Catanzaro;Brindisi;OK;356155;16190
Catanzaro;Lecce;OK;392308;17626
Catanzaro;Taranto;OK;292462;13583
Catanzaro;Andria;OK;401040;17968
Catanzaro;Trani;OK;393355;17594
Catanzaro;Avellino;OK;381596;15638
Catanzaro;Benevento;OK;417387;17063
Catanzaro;Caserta;OK;420843;17290
Catanzaro;Salerno;OK;351183;14383
Catanzaro;Forlì;OK;934719;35492
Catanzaro;Modena;OK;990380;35673
Catanzaro;Parma;OK;1043022;37352
Catanzaro;Ravenna;OK;949061;36007
Catanzaro;Rimini;OK;854499;34319
Catanzaro;Ascoli Piceno;OK;708417;27873
