from;to;status;distance;time
Palermo;Bologna;OK;1278912;52245
Catanzaro;Roma;OK;606868;23232
Catanzaro;Firenze;OK;858015;30854
Catanzaro;Milano;OK;1158287;40730
Catanzaro;Torino;OK;1277323;45707
Catanzaro;Trento;OK;1170920;41032
Catanzaro;Venezia;OK;1113408;39242
Catanzaro;Trieste;OK;1268673;44599
Catanzaro;Genova;OK;1092045;39302
Catanzaro;Palermo;OK;381849;20769
Catanzaro;Potenza;OK;310885;13503
Catanzaro;Campobasso;OK;481127;20605
Catanzaro;Perugia;OK;755839;28718
Catanzaro;Bari;OK;356134;16134
Catanzaro;Ancona;OK;760898;30848
Catanzaro;L'Aquila;OK;616678;24291
Catanzaro;Cagliari;OK;1204186;200738
Catanzaro;Aosta;OK;1342880;48120
Catanzaro;Napoli;OK;405205;16620
Catanzaro;Bologna;OK;961869;34879
Potenza;Roma;OK;376494;14882
Potenza;Firenze;OK;627641;22504
Potenza;Milano;OK;865481;31726
Potenza;Torino;OK;984517;36703
Potenza;Trento;OK;878114;32028
Potenza;Venezia;OK;801703;29476
Potenza;Trieste;OK;956968;34834
Potenza;Genova;OK;861671;30952
Potenza;Palermo;OK;626522;30939
Potenza;Catanzaro;OK;313599;13745
Potenza;Campobasso;OK;193957;10250
Potenza;Perugia;OK;525465;20368
Potenza;Bari;OK;127091;7305
Potenza;Ancona;OK;450813;17424
Potenza;L'Aquila;OK;380220;15805
Potenza;Cagliari;OK;973813;192388
Potenza;Aosta;OK;1050074;39115
Potenza;Napoli;OK;174831;8270
Potenza;Bologna;OK;653590;25233
Campobasso;Roma;OK;225518;10131
Campobasso;Firenze;OK;476665;17754
Campobasso;Milano;OK;740287;26048
Campobasso;Torino;OK;859323;31025
Campobasso;Trento;OK;752920;26350
Campobasso;Venezia;OK;676509;23798
Campobasso;Trieste;OK;831774;29156
Campobasso;Genova;OK;710695;26202
Campobasso;Palermo;OK;794423;38490
Campobasso;Catanzaro;OK;481500;21295
Campobasso;Potenza;OK;194072;10274
Campobasso;Perugia;OK;374489;15618
Campobasso;Bari;OK;218469;10300
Campobasso;Ancona;OK;325620;11746
Campobasso;L'Aquila;OK;255026;10127
Campobasso;Cagliari;OK;822837;187638
Campobasso;Aosta;OK;924880;33437
Campobasso;Napoli;OK;133553;7413
Campobasso;Bologna;OK;528396;19555
Perugia;Roma;OK;175116;7495
Perugia;Firenze;OK;151767;5447
Perugia;Milano;OK;452040;15322
Perugia;Torino;OK;571075;20299
Perugia;Trento;OK;464672;15624
Perugia;Venezia;OK;407161;13834
Perugia;Trieste;OK;562426;19192
Perugia;Genova;OK;385797;13895
Perugia;Palermo;OK;1073746;45965
Perugia;Catanzaro;OK;760823;28770
Perugia;Potenza;OK;526649;19895
Perugia;Campobasso;OK;377063;15429
Perugia;Bari;OK;568570;21517
Perugia;Ancona;OK;139088;6981
Perugia;L'Aquila;OK;174487;8166
Perugia;Cagliari;OK;702067;183220
Perugia;Aosta;OK;636632;22712
Perugia;Napoli;OK;372316;13099
Perugia;Bologna;OK;255622;9472
Bari;Roma;OK;452527;17014
Bari;Firenze;OK;703674;24636
Bari;Milano;OK;881809;30949
Bari;Torino;OK;1000845;35926
Bari;Trento;OK;894441;31251
Bari;Venezia;OK;818031;28699
Bari;Trieste;OK;973295;34057
Bari;Genova;OK;937704;33084
Bari;Palermo;OK;662536;33730
Bari;Catanzaro;OK;349613;16535
Bari;Potenza;OK;126664;7250
Bari;Campobasso;OK;221925;10400
Bari;Perugia;OK;569206;21549
Bari;Ancona;OK;467141;16647
Bari;L'Aquila;OK;396547;15028
Bari;Cagliari;OK;1049846;194520
Bari;Aosta;OK;1066401;38338
Bari;Napoli;OK;264411;10965
Bari;Bologna;OK;669917;24456
Ancona;Roma;OK;309503;11623
Ancona;Firenze;OK;286714;11788
Ancona;Milano;OK;425604;15739
Ancona;Torino;OK;544640;20716
Ancona;Trento;OK;438236;16041
Ancona;Venezia;OK;361826;13490
Ancona;Trieste;OK;517090;18847
Ancona;Genova;OK;515790;19227
Ancona;Palermo;OK;1078410;49024
Ancona;Catanzaro;OK;765488;31829
Ancona;Potenza;OK;452770;18219
Ancona;Campobasso;OK;330341;13328
Ancona;Perugia;OK;141175;7015
Ancona;Bari;OK;466227;17594
Ancona;L'Aquila;OK;198001;7868
Ancona;Cagliari;OK;827368;189081
Ancona;Aosta;OK;610196;23129
Ancona;Napoli;OK;417064;16339
Ancona;Bologna;OK;213712;9246
L'Aquila;Roma;OK;119246;4252
L'Aquila;Firenze;OK;363911;11738
L'Aquila;Milano;OK;611289;21391
L'Aquila;Torino;OK;730325;26368
L'Aquila;Trento;OK;623922;21693
L'Aquila;Venezia;OK;547511;19142
L'Aquila;Trieste;OK;702776;24499
L'Aquila;Genova;OK;597941;20186
L'Aquila;Palermo;OK;928235;41834
L'Aquila;Catanzaro;OK;615313;24640
L'Aquila;Potenza;OK;378946;15465
L'Aquila;Campobasso;OK;191128;10508
L'Aquila;Perugia;OK;173579;8180
L'Aquila;Bari;OK;392404;14840
L'Aquila;Ancona;OK;196621;7089
L'Aquila;Cagliari;OK;724906;182105
L'Aquila;Aosta;OK;795882;28781
L'Aquila;Napoli;OK;226806;8969
L'Aquila;Bologna;OK;399398;14898
Cagliari;Roma;OK;597244;177974
Cagliari;Firenze;OK;783750;184498
Cagliari;Milano;OK;1084023;194373
Cagliari;Torino;OK;1203058;199350
Cagliari;Trento;OK;1096655;194676
Cagliari;Venezia;OK;1039144;192885
Cagliari;Trieste;OK;1194409;198243
Cagliari;Genova;OK;1017780;192946
Cagliari;Palermo;OK;1512398;217133
Cagliari;Catanzaro;OK;1199476;199938
Cagliari;Potenza;OK;965302;191063
Cagliari;Campobasso;OK;815716;186597
Cagliari;Perugia;OK;697634;182620
Cagliari;Bari;OK;1014286;193239
Cagliari;Ancona;OK;909995;187882
Cagliari;L'Aquila;OK;716762;181177
Cagliari;Aosta;OK;1268615;201763
Cagliari;Napoli;OK;810969;184267
Cagliari;Bologna;OK;887605;188523
Aosta;Roma;OK;760363;26494
Aosta;Firenze;OK;491290;17966
Aosta;Milano;OK;185817;8076
Aosta;Torino;OK;114786;5158
Aosta;Trento;OK;418931;15787
Aosta;Venezia;OK;446701;16853
Aosta;Trieste;OK;601965;22211
Aosta;Genova;OK;247014;10544
Aosta;Palermo;OK;1658992;64964
Aosta;Catanzaro;OK;1346070;47770
Aosta;Potenza;OK;1050711;38854
Aosta;Campobasso;OK;928282;33962
Aosta;Perugia;OK;638633;22448
Aosta;Bari;OK;1064168;38229
Aosta;Ancona;OK;611430;23703
Aosta;L'Aquila;OK;849146;28482
Aosta;Cagliari;OK;1272809;202043
Aosta;Napoli;OK;957562;32099
Aosta;Bologna;OK;397805;14219
Napoli;Roma;OK;220764;7539
Napoli;Firenze;OK;471911;15161
Napoli;Milano;OK;772183;25037
Napoli;Torino;OK;891219;30014
Napoli;Trento;OK;784816;25339
Napoli;Venezia;OK;727305;23549
Napoli;Trieste;OK;882569;28906
Napoli;Genova;OK;705941;23609
Napoli;Palermo;OK;720658;34007
Napoli;Catanzaro;OK;407735;16812
Napoli;Potenza;OK;173561;7937
Napoli;Campobasso;OK;131349;7026
Napoli;Perugia;OK;369735;13025
Napoli;Bari;OK;261041;10878
Napoli;Ancona;OK;423807;15302
Napoli;L'Aquila;OK;230574;8598
Napoli;Cagliari;OK;818082;185045
Napoli;Aosta;OK;956776;32426
Napoli;Bologna;OK;575766;19186
Bologna;Roma;OK;380060;13493
