from,to,status,distance210913,time210913,distance030813,time030813,distDiff,timeDiff
Venezia,Perugia,OK,408796,13859,408743,13856,53,3
Venezia,Bari,OK,815086,28852,815063,28865,23,-13
Venezia,Ancona,OK,362319,14325,362325,14339,-6,-14
Venezia,L'Aquila,OK,546907,19128,546836,19140,71,-12
Venezia,Cagliari,OK,969354,29507,1042919,193452,-73565,-163945
Venezia,Aosta,OK,445128,16216,445097,16482,31,-266
Venezia,Napoli,OK,727726,23510,727673,23508,53,2
Venezia,Bologna,OK,153839,5021,153839,5021,0,0
Trieste,Roma,OK,686368,22945,686314,23231,54,-286
Trieste,Firenze,OK,417296,14416,417242,14702,54,-286
Trieste,Milano,OK,425517,14407,425516,14961,1,-554
Trieste,Torino,OK,557755,19618,557754,20173,1,-555
Trieste,Trento,OK,367467,11730,367466,11987,1,-257
Trieste,Venezia,OK,168473,6199,167947,6441,526,-242
Trieste,Genova,OK,558831,18883,558830,19499,1,-616
Trieste,Palermo,OK,1207046,59272,1584944,61701,-377898,-2429
Trieste,Catanzaro,OK,1271498,44197,1272021,44507,-523,-310
Trieste,Potenza,OK,957471,34517,957446,34819,25,-302
Trieste,Campobasso,OK,835042,29625,835017,29927,25,-302
Trieste,Perugia,OK,564638,18898,564584,19184,54,-286
Trieste,Bari,OK,970928,33892,970904,34193,24,-301
Trieste,Ancona,OK,518161,19364,518166,19667,-5,-303
Trieste,L'Aquila,OK,702749,24167,702677,24468,72,-301
Trieste,Cagliari,OK,1125195,34546,1198760,198780,-73565,-164234
Trieste,Aosta,OK,600970,21256,600938,21810,32,-554
Trieste,Napoli,OK,883568,28550,883514,28836,54,-286
Trieste,Bologna,OK,309681,10061,309679,10349,2,-288
Genova,Roma,OK,512906,17993,512906,17993,0,0
Genova,Firenze,OK,243833,9465,243833,9465,0,0
Genova,Milano,OK,142356,5122,142355,5122,1,0
Genova,Torino,OK,169391,7303,169391,7303,0,0
Genova,Trento,OK,366809,12243,366812,12964,-3,-721
Genova,Venezia,OK,395107,13307,394582,14031,525,-724
Genova,Trieste,OK,549873,18250,549846,19388,27,-1138
Genova,Palermo,OK,1033584,54320,1411535,56463,-377951,-2143
Genova,Catanzaro,OK,1098036,39246,1098613,39269,-577,-23
Genova,Potenza,OK,864437,30393,864439,30394,-2,-1
Genova,Campobasso,OK,714854,25872,714853,25928,1,-56
Genova,Perugia,OK,391176,13947,391176,13947,0,0
Genova,Bari,OK,912652,32520,913423,32570,-771,-50
Genova,Ancona,OK,508110,19317,508115,19332,-5,-15
Genova,L'Aquila,OK,601691,19981,601689,19981,2,0
Genova,Cagliari,OK,951733,29595,1025352,193542,-73619,-163947
Genova,Aosta,OK,246308,10248,246278,10248,30,0
Genova,Napoli,OK,710105,23598,710106,23598,-1,0
Genova,Bologna,OK,294489,9848,294490,9848,-1,0
Palermo,Roma,OK,543580,38139,923910,40597,-380330,-2458
Palermo,Firenze,OK,794400,45762,1175057,48219,-380657,-2457
Palermo,Milano,OK,1095077,55157,1475330,58095,-380253,-2938
Palermo,Torino,OK,1214111,60136,1594365,63072,-380254,-2936
Palermo,Trento,OK,1107708,55461,1487962,58397,-380254,-2936
Palermo,Venezia,OK,1050722,53815,1430451,56607,-379729,-2792
Palermo,Trieste,OK,1205488,58758,1585716,61965,-380228,-3207
Palermo,Genova,OK,1028757,54212,1409087,56668,-380330,-2456
Palermo,Catanzaro,OK,384974,20531,384975,20534,-1,-3
Palermo,Potenza,OK,627856,30862,627928,30868,-72,-6
Palermo,Campobasso,OK,454165,37626,798169,37970,-344004,-344
Palermo,Perugia,OK,692552,43626,1072881,46084,-380329,-2458
Palermo,Bari,OK,673242,33500,673177,33499,65,1
Palermo,Ancona,OK,746622,45906,1077941,48213,-331319,-2307
