from;to;status;distance;time
Catanzaro;Roma;OK;606798;23229
Catanzaro;Firenze;OK;857619;30852
Catanzaro;Milano;OK;1158295;40246
Catanzaro;Torino;OK;1277329;45226
Catanzaro;Trento;OK;1170926;40551
Catanzaro;Venezia;OK;1113941;38905
Catanzaro;Trieste;OK;1268706;43848
Catanzaro;Genova;OK;1091975;39302
Catanzaro;Palermo;OK;381847;20766
Catanzaro;Potenza;OK;310814;13499
Catanzaro;Campobasso;OK;481057;20602
Catanzaro;Perugia;OK;755770;28716
Catanzaro;Bari;OK;356200;16137
Catanzaro;Ancona;OK;760827;30845
Catanzaro;L'Aquila;OK;616640;24293
Catanzaro;Cagliari;OK;1130505;36789
Catanzaro;Aosta;OK;1342918;47635
Catanzaro;Napoli;OK;405135;16617
Catanzaro;Bologna;OK;961875;34497
Potenza;Roma;OK;385011;14869
Potenza;Firenze;OK;635832;22492
Potenza;Milano;OK;865495;31724
Potenza;Torino;OK;984529;36703
Potenza;Trento;OK;878126;32028
Potenza;Venezia;OK;802241;29523
Potenza;Trieste;OK;957007;34466
Potenza;Genova;OK;870188;30942
Potenza;Palermo;OK;625946;30825
Potenza;Catanzaro;OK;313025;13633
Potenza;Campobasso;OK;193955;10250
Potenza;Perugia;OK;533983;20356
Potenza;Bari;OK;127094;7305
Potenza;Ancona;OK;450813;17424
Potenza;L'Aquila;OK;397421;15914
Potenza;Cagliari;OK;908718;28429
Potenza;Aosta;OK;1050117;39113
Potenza;Napoli;OK;183349;8257
Potenza;Bologna;OK;653602;25233
Campobasso;Roma;OK;225518;10076
Campobasso;Firenze;OK;476338;17699
Campobasso;Milano;OK;740639;26113
Campobasso;Torino;OK;859674;31093
Campobasso;Trento;OK;753270;26418
Campobasso;Venezia;OK;677386;23912
Campobasso;Trieste;OK;832151;28855
Campobasso;Genova;OK;710695;26149
Campobasso;Palermo;OK;457031;38135
Campobasso;Catanzaro;OK;480153;21223
Campobasso;Potenza;OK;194070;10274
Campobasso;Perugia;OK;374490;15563
Campobasso;Bari;OK;218467;10299
Campobasso;Ancona;OK;325958;11813
Campobasso;L'Aquila;OK;272566;10304
Campobasso;Cagliari;OK;749225;23636
Campobasso;Aosta;OK;925262;33502
Campobasso;Napoli;OK;133553;7413
Campobasso;Bologna;OK;528747;19623
Perugia;Roma;OK;172653;7448
Perugia;Firenze;OK;151441;5447
Perugia;Milano;OK;452117;14842
Perugia;Torino;OK;571151;19821
Perugia;Trento;OK;464748;15146
Perugia;Venezia;OK;407763;13500
Perugia;Trieste;OK;562529;18443
Perugia;Genova;OK;385797;13897
Perugia;Palermo;OK;693331;43775
Perugia;Catanzaro;OK;757783;28701
Perugia;Potenza;OK;524185;19848
Perugia;Campobasso;OK;374601;15327
Perugia;Bari;OK;567753;21510
Perugia;Ancona;OK;139088;6981
Perugia;L'Aquila;OK;172160;8129
Perugia;Cagliari;OK;625993;19227
Perugia;Aosta;OK;636740;22231
Perugia;Napoli;OK;369853;13053
Perugia;Bologna;OK;255697;9092
Bari;Roma;OK;452514;17006
Bari;Firenze;OK;703335;24629
Bari;Milano;OK;881822;30947
Bari;Torino;OK;1000856;35926
Bari;Trento;OK;894453;31251
Bari;Venezia;OK;818568;28746
Bari;Trieste;OK;973334;33689
Bari;Genova;OK;937691;33079
Bari;Palermo;OK;662533;33727
Bari;Catanzaro;OK;349612;16535
Bari;Potenza;OK;126656;7250
Bari;Campobasso;OK;221924;10400
Bari;Perugia;OK;569206;21544
Bari;Ancona;OK;467141;16647
Bari;L'Aquila;OK;413749;15137
Bari;Cagliari;OK;976221;30566
Bari;Aosta;OK;1066445;38336
Bari;Napoli;OK;264397;10958
Bari;Bologna;OK;669929;24456
Ancona;Roma;OK;309490;11638
Ancona;Firenze;OK;286388;11788
Ancona;Milano;OK;425617;15737
Ancona;Torino;OK;544651;20717
Ancona;Trento;OK;438248;16042
Ancona;Venezia;OK;362363;13536
Ancona;Trieste;OK;517129;18479
Ancona;Genova;OK;515802;19230
Ancona;Palermo;OK;740549;47062
Ancona;Catanzaro;OK;764911;31717
Ancona;Potenza;OK;452770;18219
Ancona;Campobasso;OK;330342;13328
Ancona;Perugia;OK;141175;7015
Ancona;Bari;OK;466228;17594
Ancona;L'Aquila;OK;198048;7869
Ancona;Cagliari;OK;753757;25134
Ancona;Aosta;OK;610240;23126
Ancona;Napoli;OK;417070;16339
Ancona;Bologna;OK;213724;9247
L'Aquila;Roma;OK;119419;4263
L'Aquila;Firenze;OK;363757;11733
L'Aquila;Milano;OK;664433;21127
L'Aquila;Torino;OK;783468;26107
L'Aquila;Trento;OK;677064;21432
L'Aquila;Venezia;OK;548089;19191
L'Aquila;Trieste;OK;702855;24133
L'Aquila;Genova;OK;598114;20182
L'Aquila;Palermo;OK;550478;39687
L'Aquila;Catanzaro;OK;614930;24612
L'Aquila;Potenza;OK;394159;15516
L'Aquila;Campobasso;OK;227349;10571
L'Aquila;Perugia;OK;173842;8178
L'Aquila;Bari;OK;407616;14891
L'Aquila;Ancona;OK;196662;7092
L'Aquila;Cagliari;OK;651467;18170
L'Aquila;Aosta;OK;849056;28516
L'Aquila;Napoli;OK;226999;8964
L'Aquila;Bologna;OK;399450;14901
Cagliari;Roma;OK;526293;14240
Cagliari;Firenze;OK;712472;20764
Cagliari;Milano;OK;1013149;30158
Cagliari;Torino;OK;1132183;35138
Cagliari;Trento;OK;1025780;30463
Cagliari;Venezia;OK;968794;28817
Cagliari;Trieste;OK;1123560;33760
Cagliari;Genova;OK;946829;29213
Cagliari;Palermo;OK;423879;43865
Cagliari;Catanzaro;OK;1127947;36181
Cagliari;Potenza;OK;894349;27328
Cagliari;Campobasso;OK;744765;22807
Cagliari;Perugia;OK;626683;18885
Cagliari;Bari;OK;942564;29454
Cagliari;Ancona;OK;839012;24145
Cagliari;L'Aquila;OK;645812;17443
Cagliari;Aosta;OK;1197771;37547
Cagliari;Napoli;OK;740017;20533
Cagliari;Bologna;OK;816729;24408
Aosta;Roma;OK;760416;26497
Aosta;Firenze;OK;491344;17968
Aosta;Milano;OK;185818;8076
Aosta;Torino;OK;114786;5158
Aosta;Trento;OK;418929;15408
Aosta;Venezia;OK;447227;16473
Aosta;Trieste;OK;601993;21415
Aosta;Genova;OK;247014;10544
Aosta;Palermo;OK;1281094;62824
Aosta;Catanzaro;OK;1345546;47749
Aosta;Potenza;OK;1050735;38841
Aosta;Campobasso;OK;928306;33949
Aosta;Perugia;OK;638686;22450
Aosta;Bari;OK;1064192;38215
Aosta;Ancona;OK;611425;23688
Aosta;L'Aquila;OK;849201;28484
Aosta;Cagliari;OK;1199243;38098
Aosta;Napoli;OK;957616;32102
Aosta;Bologna;OK;397805;14219
Napoli;Roma;OK;220764;7539
Napoli;Firenze;OK;471585;15161
Napoli;Milano;OK;772261;24556
Napoli;Torino;OK;891295;29536
Napoli;Trento;OK;784892;24861
Napoli;Venezia;OK;727907;23215
Napoli;Trieste;OK;882672;28157
Napoli;Genova;OK;705941;23611
Napoli;Palermo;OK;323386;30910
Napoli;Catanzaro;OK;407176;16791
Napoli;Potenza;OK;173578;7938
Napoli;Campobasso;OK;131349;7026
Napoli;Perugia;OK;369736;13025
Napoli;Bari;OK;261044;10815
Napoli;Ancona;OK;423806;15305
Napoli;L'Aquila;OK;230606;8603
Napoli;Cagliari;OK;744471;21099
Napoli;Aosta;OK;956884;31945
Napoli;Bologna;OK;575841;18806
Bologna;Roma;OK;380111;13495
Bologna;Firenze;OK;111039;4967
Bologna;Milano;OK;213022;6941
Bologna;Torino;OK;332056;11920
Bologna;Trento;OK;225653;7245
Bologna;Venezia;OK;154088;4963
Bologna;Trieste;OK;308854;9906
Bologna;Genova;OK;303207;10433
Bologna;Palermo;OK;900790;49822
Bologna;Catanzaro;OK;965241;34748
Bologna;Potenza;OK;653232;25169
Bologna;Campobasso;OK;530804;20278
Bologna;Perugia;OK;258381;9449
Bologna;Bari;OK;666689;24544
Bologna;Ancona;OK;213923;10017
Bologna;L'Aquila;OK;398510;14820
Bologna;Cagliari;OK;818939;25097
Bologna;Aosta;OK;397644;14330
Bologna;Napoli;OK;577311;19100
